,date,time,price
444,12/6/2021,12:00 p.m.,61
445,12/7/2021,8:00 a.m.,121
446,12/7/2021,12:00 p.m.,99
447,12/8/2021,8:00 a.m.,143
448,12/8/2021,12:00 p.m.,150
449,12/9/2021,8:00 a.m.,134
450,12/9/2021,12:00 p.m.,55
451,12/10/2021,8:00 a.m.,51
452,12/10/2021,12:00 p.m.,48
453,12/11/2021,8:00 a.m.,44
454,12/11/2021,12:00 p.m.,40
455,12/12/2021,5:00 a.m.,107
456,12/13/2021,8:00 a.m.,78
457,12/13/2021,12:00 p.m.,70
458,12/14/2021,8:00 a.m.,62
459,12/14/2021,12:00 p.m.,121
460,12/15/2021,8:00 a.m.,70
461,12/15/2021,12:00 p.m.,60
462,12/16/2021,8:00 a.m.,98
463,12/16/2021,12:00 p.m.,144
464,12/17/2021,8:00 a.m.,136
465,12/17/2021,12:00 p.m.,139
466,12/18/2021,8:00 a.m.,124
467,12/18/2021,12:00 p.m.,125
468,12/19/2021,5:00 a.m.,98
469,12/20/2021,8:00 a.m.,85
470,12/20/2021,12:00 p.m.,80
471,12/21/2021,8:00 a.m.,76
472,12/21/2021,12:00 p.m.,71
473,12/22/2021,8:00 a.m.,67
474,12/22/2021,12:00 p.m.,63
475,12/23/2021,8:00 a.m.,59
476,12/23/2021,12:00 p.m.,56
477,12/24/2021,8:00 a.m.,52
478,12/24/2021,12:00 p.m.,49
479,12/25/2021,8:00 a.m.,45
480,12/25/2021,12:00 p.m.,41
481,12/26/2021,5:00 a.m.,92
482,12/27/2021,8:00 a.m.,82
484,12/28/2021,8:00 a.m.,75
485,12/28/2021,12:00 p.m.,71
486,12/29/2021,8:00 a.m.,67
487,12/29/2021,12:00 p.m.,64
488,12/30/2021,8:00 a.m.,60
489,12/30/2021,12:00 p.m.,86
490,12/31/2021,8:00 a.m.,135
491,12/31/2021,12:00 p.m.,341
492,1/1/2022,8:00 a.m.,131
493,1/1/2022,12:00 p.m.,119
494,1/2/2022,5:00 a.m.,104
495,1/3/2022,8:00 a.m.,91
496,1/3/2022,12:00 p.m.,86
497,1/4/2022,8:00 a.m.,82
498,1/4/2022,12:00 p.m.,78
499,1/5/2022,8:00 a.m.,110
500,1/5/2022,12:00 p.m.,170
501,1/6/2022,8:00 a.m.,245
502,1/6/2022,12:00 p.m.,165
503,1/7/2022,8:00 a.m.,131
504,1/7/2022,12:00 p.m.,71
505,1/8/2022,8:00 a.m.,48
506,1/8/2022,12:00 p.m.,63
508,1/10/2022,8:00 a.m.,63
509,1/10/2022,12:00 p.m.,123
510,1/11/2022,8:00 a.m.,96
511,1/11/2022,12:00 p.m.,149
512,1/12/2022,8:00 a.m.,182
513,1/12/2022,12:00 p.m.,152
514,1/13/2022,8:00 a.m.,54
515,1/13/2022,12:00 p.m.,50
516,1/14/2022,8:00 a.m.,45
517,1/14/2022,12:00 p.m.,41
518,1/15/2022,8:00 a.m.,37
519,1/15/2022,12:00 p.m.,33
520,1/16/2022,5:00 a.m.,108
521,1/17/2022,8:00 a.m.,92
522,1/17/2022,12:00 p.m.,89
523,1/18/2022,8:00 a.m.,83
524,1/18/2022,12:00 p.m.,78
525,1/19/2022,8:00 a.m.,74
526,1/19/2022,12:00 p.m.,70
527,1/20/2022,8:00 a.m.,64
528,1/20/2022,12:00 p.m.,61
529,1/21/2022,8:00 a.m.,57
530,1/21/2022,12:00 p.m.,54
531,1/22/2022,8:00 a.m.,47
532,1/22/2022,12:00 p.m.,43
533,1/23/2022,5:00 a.m.,103
534,1/24/2022,8:00 a.m.,91
535,1/24/2022,12:00 p.m.,87
536,1/25/2022,8:00 a.m.,84
537,1/25/2022,12:00 p.m.,79
538,1/26/2022,8:00 a.m.,104
539,1/26/2022,12:00 p.m.,194
540,1/27/2022,8:00 a.m.,335
541,1/27/2022,12:00 p.m.,184
542,1/28/2022,8:00 a.m.,120
543,1/28/2022,12:00 p.m.,67
544,1/29/2022,8:00 a.m.,88
545,1/29/2022,12:00 p.m.,87
546,1/30/2022,5:00 a.m.,97
547,1/31/2022,8:00 a.m.,98
548,1/31/2022,12:00 p.m.,64
549,2/1/2022,8:00 a.m.,55
550,2/1/2022,12:00 p.m.,48
551,2/2/2022,8:00 a.m.,123
552,2/2/2022,12:00 p.m.,127
553,2/3/2022,8:00 a.m.,91
554,2/3/2022,12:00 p.m.,131
555,2/4/2022,8:00 a.m.,68
556,2/4/2022,12:00 p.m.,63
557,2/5/2022,8:00 a.m.,133
558,2/5/2022,12:00 p.m.,98
559,2/6/2022,5:00 a.m.,94
561,2/7/2022,12:00 p.m.,77
562,2/8/2022,8:00 a.m.,72
563,2/8/2022,12:00 p.m.,69
564,2/9/2022,8:00 a.m.,65
565,2/9/2022,12:00 p.m.,60
566,2/10/2022,8:00 a.m.,57
567,2/10/2022,12:00 p.m.,53
568,2/11/2022,8:00 a.m.,49
569,2/11/2022,12:00 p.m.,45
570,2/12/2022,8:00 a.m.,41
571,2/12/2022,12:00 p.m.,38
572,2/13/2022,5:00 a.m.,98
573,2/14/2022,8:00 a.m.,87
574,2/14/2022,12:00 p.m.,83
575,2/15/2022,8:00 a.m.,89
576,2/15/2022,12:00 p.m.,175
577,2/16/2022,8:00 a.m.,446
578,2/16/2022,12:00 p.m.,146
579,2/17/2022,8:00 a.m.,114
580,2/17/2022,12:00 p.m.,56
581,2/18/2022,8:00 a.m.,53
